министерство финансов Амурской области;;;;;;;;;;;;;;;;;;;;;
(наименование органа, исполняющего бюджет);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
 на 01.02.2026 г.;;;;;;;;;;;;;;;;;;;;;
Дата печати 10.04.2026 (10:00:23);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Бюджет: Консолидированный;;;;;;;;;;;;;;;;;;;;;
КЦСР: *****975**,*****6105*,*****970**;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
руб.;;;;;;;;;;;;;;;;;;;;;
Бюджет;Дата проводки;КФСР;Наименование КФСР;КЦСР;Наименование КЦСР;КВР;Наименование КВР;КОСГУ;Наименование КОСГУ;КВСР;Наименование КВСР;Код цели;Наименование Код цели;КВФО;Наименование КВФО;Источник средств;Лимиты ПБС 2026 год;Подтв. лимитов по БО 2026 год;Подтв. лимитов без БО 2026 год;Остаток лимитов 2026 год;Всего выбытий (бух.уч.)
Бюджет города Благовещенска;30.01.2026;05.02;Коммунальное хозяйство;03.2.01.61057;"Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной мощностью 25 Гкал/ч в 607 квартале г. Благовещенска (""Серебрянная миля"")";8.9.1;Субсидии юридическим лицам, индивидуальным предпринимателям, являющимся стороной концессионных соглашений, на финансирование капитального гранта, платы концедента;0.0.0;НЕ УКАЗАНО;005;Управление жилищно-коммунального хозяйства администрации города Благовещенска;ОБ-136-7;"Иные межбюджетных трансферты  на реализацию инфраструктурных проектов в сфере жилищно-коммунального хозяйства (включая проекты, направленные на замену лифтового оборудования в многоквартирных домах) и мероприятий мастер-планов городов Амурской области (в части мероприятий по развитию коммунальной инфраструктуры) за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной мощностью 25 Гкал/ч в 607 квартале г. Благовещенска (""Серебряная миля"")";1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;-234 450 000,00;0,00;0,00;-468 900 000,00;0,00
Бюджет города Благовещенска;30.01.2026;05.02;Коммунальное хозяйство;03.2.01.6105Ж;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной в 101 квартале г. Благовещенска);8.9.1;Субсидии юридическим лицам, индивидуальным предпринимателям, являющимся стороной концессионных соглашений, на финансирование капитального гранта, платы концедента;0.0.0;НЕ УКАЗАНО;005;Управление жилищно-коммунального хозяйства администрации города Благовещенска;ОБ-136-10;Иные межбюджетные трансферты  на реализацию инфраструктурных проектов в сфере жилищно-коммунального хозяйства (включая проекты, направленные на замену лифтового оборудования в многоквартирных домах) и мероприятий мастер-планов городов Амурской области (в части мероприятий по развитию коммунальной инфраструктуры) за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной в 101 квартале г. Благовещенска);1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;-234 450 000,00;0,00;0,00;-468 900 000,00;0,00
Областной бюджет Амурской области;01.01.2026;04.08;Транспорт;13.2.02.61051;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (обновление подвижного состава общественного транспорта общего пользования);5.0.0;Межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;939;Министерство транспорта и дорожного хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;464 777 916,63;0,00
Областной бюджет Амурской области;01.01.2026;04.08;Транспорт;13.2.02.61051;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (обновление подвижного состава общественного транспорта общего пользования);5.4.0;Иные межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;939;Министерство транспорта и дорожного хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;464 777 916,63;0,00;0,00;464 777 916,63;0,00
Областной бюджет Амурской области;01.01.2026;04.09;Дорожное хозяйство (дорожные фонды);13.2.01.97504;Реализация инфраструктурных проектов (мероприятий) в сфере дорожной деятельности, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;5.0.0;Межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;939;Министерство транспорта и дорожного хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;220 990 000,00;0,00
Областной бюджет Амурской области;01.01.2026;04.09;Дорожное хозяйство (дорожные фонды);13.2.01.97504;Реализация инфраструктурных проектов (мероприятий) в сфере дорожной деятельности, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;5.4.0;Иные межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;939;Министерство транспорта и дорожного хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;220 990 000,00;0,00;0,00;220 990 000,00;0,00
Областной бюджет Амурской области;01.01.2026;04.12;Другие вопросы в области национальной экономики;08.2.01.97502;Реализация инфраструктурных проектов (мероприятий) в сфере экономики, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;8.0.0;Иные бюджетные ассигнования;0.0.0;НЕ УКАЗАНО;936;Министерство экономического развития Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;289 669 760,00;0,00
Областной бюджет Амурской области;01.01.2026;04.12;Другие вопросы в области национальной экономики;08.2.01.97502;Реализация инфраструктурных проектов (мероприятий) в сфере экономики, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;8.9.1;Субсидии юридическим лицам, индивидуальным предпринимателям, являющимся стороной концессионных соглашений, на финансирование капитального гранта, платы концедента;0.0.0;НЕ УКАЗАНО;936;Министерство экономического развития Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;289 669 760,00;0,00;0,00;289 669 760,00;0,00
Областной бюджет Амурской области;01.01.2026;05.02;Коммунальное хозяйство;05.2.01.61055;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство сливной станции с. Садовое);5.0.0;Межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;911;Министерство жилищно-коммунального хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;571 400 000,00;0,00
Областной бюджет Амурской области;01.01.2026;05.02;Коммунальное хозяйство;05.2.01.61055;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство сливной станции с. Садовое);5.4.0;Иные межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;911;Министерство жилищно-коммунального хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;571 400 000,00;0,00;0,00;571 400 000,00;0,00
Областной бюджет Амурской области;01.01.2026;05.02;Коммунальное хозяйство;05.2.01.61056;"Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной в 252 квартале г. Благовещенска (""Лазурный берег"")";5.0.0;Межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;911;Министерство жилищно-коммунального хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;230 000 000,00;0,00
Областной бюджет Амурской области;01.01.2026;05.02;Коммунальное хозяйство;05.2.01.61056;"Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной в 252 квартале г. Благовещенска (""Лазурный берег"")";5.4.0;Иные межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;911;Министерство жилищно-коммунального хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;230 000 000,00;0,00;0,00;230 000 000,00;0,00
Областной бюджет Амурской области;01.01.2026;05.02;Коммунальное хозяйство;05.2.01.61057;"Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной в 607 квартале г. Благовещенска (""Серебряная миля"")";5.0.0;Межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;911;Министерство жилищно-коммунального хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;234 450 000,00;0,00
Областной бюджет Амурской области;01.01.2026;05.02;Коммунальное хозяйство;05.2.01.61057;"Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной в 607 квартале г. Благовещенска (""Серебряная миля"")";5.4.0;Иные межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;911;Министерство жилищно-коммунального хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;234 450 000,00;0,00;0,00;234 450 000,00;0,00
Областной бюджет Амурской области;01.01.2026;05.02;Коммунальное хозяйство;05.2.01.61059;"Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство водозабора ""Южный"")";5.0.0;Межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;911;Министерство жилищно-коммунального хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;78 400 000,00;0,00
Областной бюджет Амурской области;01.01.2026;05.02;Коммунальное хозяйство;05.2.01.61059;"Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство водозабора ""Южный"")";5.4.0;Иные межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;911;Министерство жилищно-коммунального хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;78 400 000,00;0,00;0,00;78 400 000,00;0,00
Областной бюджет Амурской области;01.01.2026;05.02;Коммунальное хозяйство;05.2.01.6105Е;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной РК-2, г. Свободный);5.0.0;Межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;911;Министерство жилищно-коммунального хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;704 600 000,00;0,00
Областной бюджет Амурской области;01.01.2026;05.02;Коммунальное хозяйство;05.2.01.6105Е;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной РК-2, г. Свободный);5.4.0;Иные межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;911;Министерство жилищно-коммунального хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;704 600 000,00;0,00;0,00;704 600 000,00;0,00
Областной бюджет Амурской области;01.01.2026;05.02;Коммунальное хозяйство;05.2.01.6105Ж;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной в 101 квартале г. Благовещенска);5.0.0;Межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;911;Министерство жилищно-коммунального хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;234 450 000,00;0,00
Областной бюджет Амурской области;01.01.2026;05.02;Коммунальное хозяйство;05.2.01.6105Ж;Реализация мер, финансирование которых осуществляется за счет высвобождаемых средств в результате списания задолженности по бюджетным кредитам (Строительство газовой котельной в 101 квартале г. Благовещенска);5.4.0;Иные межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;911;Министерство жилищно-коммунального хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;234 450 000,00;0,00;0,00;234 450 000,00;0,00
Областной бюджет Амурской области;01.01.2026;05.02;Коммунальное хозяйство;05.2.01.97503;Реализация инфраструктурных проектов (мероприятий) в сфере жилищно-коммунального хозяйства, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;5.0.0;Межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;911;Министерство жилищно-коммунального хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;1 123 412 580,00;0,00
Областной бюджет Амурской области;01.01.2026;05.02;Коммунальное хозяйство;05.2.01.97503;Реализация инфраструктурных проектов (мероприятий) в сфере жилищно-коммунального хозяйства, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации;5.4.0;Иные межбюджетные трансферты;0.0.0;НЕ УКАЗАНО;911;Министерство жилищно-коммунального хозяйства Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;1 123 412 580,00;0,00;0,00;1 123 412 580,00;0,00
Областной бюджет Амурской области;01.01.2026;07.01;Дошкольное образование;07.2.02.97505;Реализация инфраструктурных проектов (мероприятий) в сфере образования, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации, источником финансового обеспечения которых являются средства областного бюджета;4.0.0;Капитальные вложения в объекты государственной (муниципальной) собственности;0.0.0;НЕ УКАЗАНО;938;Министерство строительства и архитектуры Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;0,00;0,00;0,00;466 759 670,00;0,00
Областной бюджет Амурской области;01.01.2026;07.01;Дошкольное образование;07.2.02.97505;Реализация инфраструктурных проектов (мероприятий) в сфере образования, одобренных президиумом (штабом) Правительственной комиссии по региональному развитию в Российской Федерации, источником финансового обеспечения которых являются средства областного бюджета;4.6.4;Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности бюджетным учреждениям;0.0.0;НЕ УКАЗАНО;938;Министерство строительства и архитектуры Амурской области;0;Не указан;1;Деятельность, осуществляемая за счет средств соответствующего бюджета бюджетной системы Российской Федерации (бюджетная деятельность);Региональные средства;466 759 670,00;0,00;0,00;466 759 670,00;0,00
Итого;;;;;;;;;;;;;;;;;5 129 677 826,63;0,00;0,00;10 259 355 653,26;0,00
